 ,Label,Area,Mean,Min,Max,Angle,Length(micrometer,Length(mm),Random num,Random
77,,476.19,1.249,0,40,54.005,499.106,0.499106,1.512655862,0.811824254
78,,682.993,5.359,0,76,-95.802,716.049,0.716049,0.4262023,0.497243596
79,,634.921,9.454,0,94,26.125,666.155,0.666155,1.146764754,0.706012792
80,,654.875,0.65,0,50,-107.43,686.772,0.686772,1.612444347,1.011744245
81,,962.358,0.202,0,31,-58.109,1009.524,1.009524,1.454138658,0.382298504
82,,893.424,2.085,0,109,58.637,936.895,0.936895,1.37885128,1.039509419
83,,787.302,1.425,0,94,15.255,825.27,0.82527,0.902744842,0.545511161
84,,901.587,3.058,0,65,-1.848,945.253,0.945253,0.452566758,1.202191195
85,,809.977,1.13,0,62.006,-7.73,849.626,0.849626,0.554178949,1.045802413
86,,494.331,1.809,0,71,-0.843,518.151,0.518151,0.615907463,0.550177802
87,,724.717,1.158,0,69.112,-39.916,759.931,0.759931,1.027589473,0.47116958
88,,629.478,0.92,0,82,6.633,659.653,0.659653,1.355579194,1.417026894
89,,566.893,3.16,0,114,-90,594.286,0.594286,0.561235902,0.731770309
90,,868.934,0.001,0,0.428,20.556,911.36,0.91136,1.380199237,1.356647926
91,,634.921,0.586,0,96,-44.768,665.359,0.665359,0.755460687,1.112139549
92,,744.671,0.001,0,1,5.877,781.25,0.78125,1.166944467,0.81657043
93,,1119.274,0.794,0,38,13.315,1174.427,1.174427,0.663601363,0.544140429
94,,793.651,1.352,0,85,-86.064,832.44,0.83244,1.207660706,0.633320476
95,,740.136,1.6,0,71,35.407,775.872,0.775872,0.739721303,1.273079108
96,,997.732,0.032,0,10.849,10.697,1046.76,1.04676,0.604093014,0.903511091
97,,918.821,0.458,0,58,-122.245,963.9,0.9639,0.419740034,0.59186533
98,,659.41,1.255,0,71.716,-94.108,691.3,0.6913,0.837725726,0.457417749
99,,1221.769,0.941,0,99,-110.536,1281.433,1.281433,1.168411362,1.153879118
100,,887.982,3.36,0,84,-20.583,931.871,0.931871,1.628064793,0.907872362
101,,852.608,3.312,0,115.209,12.793,894.589,0.894589,1.31038298,1.018345883
